,Name,ex_scroll,total_app,offset,min
395,ER PATATA,0,1,0,1
396,TRISTEZZA A PALATE,0,1,0,1
397,BACK IN THE GAME,0,1,0,1
398,CLIMB1,0,1,0,1
399,THANKS BABE,0,1,0,1
400,GRAB THE D,0,1,0,1
401,CHRISTMAS TIME,0,1,0,1
402,CADENZA,0,1,0,1
403,SOUTH DAKOTA,0,1,0,1
404,GILLE'S BEST,0,1,0,1
405,DIFFICULT,0,1,0,1
406,COGUARO,0,1,0,1
407,SALTAPICCHIO,0,1,0,1
408,EASY,4,690,0,9
409,UNDERTAKER,0,1,0,1
410,FIRST STEP,0,1,0,1
411,SKYSCRAPER,0,1,0,1
412,ADDICT,0,1,0,1
413,CROSS IT THROUGH,0,1,0,1
414,CUMSHOT,0,1,0,1
415,PIMP,0,1,0,1
416,PORELLO,0,1,0,1
417,OLD GOOD STUFF,0,1,0,1
418,REALE,0,1,0,1
419,NANO,0,1,0,1
420,FIRST BLOOD,0,1,0,1
421,LEFT,1,207,0,9
422,OUT DAY,0,1,0,1
423,CLIMB2,0,1,0,1
424,FALLEN ARCHES TOP CRUX,0,1,0,1
425,LADYBUG RIGHT VAR,0,1,0,1
426,ADAM'S,0,1,0,1
427,NOT AR.C. SANDBAG,0,1,0,1
428,GRUMPU-TURNIER,0,1,0,1
429,KICKER,0,1,0,1
430,KICKER 2,0,1,0,1
431,SLIGHTLY SKEWED,0,1,0,1
432,KIRILH,0,1,0,1
433,BOBKATA POWER,0,1,0,1
434,CU PLACERE,0,1,0,1
435,FULCO,0,1,0,1
436,DUBUCHI,0,1,0,1
437,JRMOPHOBE,0,1,0,1
438,L7,0,1,0,1
439,7STOCKE,0,1,0,1
440,STRAIGHT UP,0,1,0,1
441,TRY IT BACKWARDS FROM H11,0,1,0,1
442,SWITCHEROOO,0,1,0,1
443,LEU KEE WI,0,1,0,1
444,UCHIDA,0,1,0,1
445,FOOTWORK,0,1,0,1
446,CHEAP,0,1,0,1
447,WORM ANOTH,0,1,0,1
448,BLONDE 2.0,0,1,0,1
449,ROCK,2,199,0,9
450,DEAD2,0,1,0,1
451,EASY GOING,0,1,0,1
452,HOOK IT,0,1,0,1
453,OZZIE THE SMITH,0,1,0,1
454,BARRY VERY LARKIN,0,1,0,1
455,JLOOP,0,1,0,1
456,THE GOLDEN BOUGH,0,1,0,1
457,JELLY BELLY,0,1,0,1
